rank1,rank2,rank3,rank4,Num cands,Num seats
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,writein,skipped,5,2
Larry Edwards,Mary Hall-Rayford,Harvey Curley,skipped,5,2
Mary Hall-Rayford,skipped,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,Larry Edwards,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,5,2
Sarah A. Lucido,writein,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Larry Edwards,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Mary Hall-Rayford,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Sarah A. Lucido,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Larry Edwards,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped,5,2
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Larry Edwards,Harvey Curley,writein,Sarah A. Lucido,5,2
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped,5,2
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,5,2
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Mary Hall-Rayford,writein,Harvey Curley,skipped,5,2
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Larry Edwards,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Larry Edwards,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Larry Edwards,skipped,skipped,5,2
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,5,2
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,Larry Edwards,skipped,skipped,5,2
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped,5,2
Mary Hall-Rayford,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,5,2
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Mary Hall-Rayford,Larry Edwards,skipped,skipped,5,2
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,5,2
Larry Edwards,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Larry Edwards,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Sarah A. Lucido,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Larry Edwards,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Mary Hall-Rayford,Larry Edwards,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,5,2
Harvey Curley,Larry Edwards,Mary Hall-Rayford,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Mary Hall-Rayford,Larry Edwards,skipped,skipped,5,2
Mary Hall-Rayford,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Larry Edwards,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,5,2
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped,5,2
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Mary Hall-Rayford,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Larry Edwards,Harvey Curley,skipped,skipped,5,2
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,5,2
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,5,2
Harvey Curley,Larry Edwards,skipped,skipped,5,2
Larry Edwards,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Larry Edwards,Harvey Curley,writein,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped,5,2
Larry Edwards,skipped,skipped,skipped,5,2
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Mary Hall-Rayford,Harvey Curley,Larry Edwards,skipped,5,2
Larry Edwards,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped,5,2
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford,5,2
Mary Hall-Rayford,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Mary Hall-Rayford,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley,5,2
Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Mary Hall-Rayford,skipped,skipped,skipped,5,2
Sarah A. Lucido,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Mary Hall-Rayford,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,5,2
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,5,2
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Mary Hall-Rayford,skipped,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido,5,2
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,5,2
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Larry Edwards,Mary Hall-Rayford,skipped,skipped,5,2
Harvey Curley,Larry Edwards,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,5,2
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,skipped,5,2
Larry Edwards,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Larry Edwards,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards,5,2
Mary Hall-Rayford,Larry Edwards,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford,5,2
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped,5,2
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped,5,2
Mary Hall-Rayford,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Larry Edwards,skipped,skipped,skipped,5,2
Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,5,2
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Harvey Curley,skipped,skipped,skipped,5,2
Sarah A. Lucido,Harvey Curley,skipped,skipped,5,2
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,skipped,skipped,5,2
Sarah A. Lucido,skipped,skipped,skipped,5,2
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,5,2
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,5,2
